省,市,县,观测时间,温度(℃),相对湿度,降水量(mm),风向,风力(m/s),经度,纬度
江苏,苏州,张家港,2015120100,11,85,0,196,1,120.55,31.87
江苏,苏州,张家港,2015120101,13,88,0,109,2,120.55,31.87
江苏,苏州,张家港,2015120102,10,87,0,179,0,120.55,31.87
江苏,苏州,张家港,2015120103,10,88,0,180,0,120.55,31.87
江苏,苏州,张家港,2015120104,12,91,0,112,0,120.55,31.87
江苏,苏州,张家港,2015120105,12,90,0,113,3,120.55,31.87
江苏,苏州,张家港,2015120106,11,92,0,99,3,120.55,31.87
江苏,苏州,张家港,2015120107,12,91,0,102,4,120.55,31.87
江苏,苏州,张家港,2015120108,13,90,0,108,3,120.55,31.87
江苏,苏州,张家港,2015120109,14,88,0,111,3,120.55,31.87
江苏,苏州,张家港,2015120110,15,77,0,108,5,120.55,31.87
江苏,苏州,张家港,2015120111,16,73,0,130,4,120.55,31.87
江苏,苏州,张家港,2015120112,15,68,0,166,4,120.55,31.87
江苏,苏州,张家港,2015120113,16,65,0,157,4,120.55,31.87
江苏,苏州,张家港,2015120114,18,65,0,158,5,120.55,31.87
江苏,苏州,张家港,2015120115,16,63,0,179,3,120.55,31.87
江苏,苏州,张家港,2015120116,16,62,0,149,5,120.55,31.87
江苏,苏州,张家港,2015120117,17,69,0,177,3,120.55,31.87
江苏,苏州,张家港,2015120118,16,73,0,150,3,120.55,31.87
江苏,苏州,张家港,2015120119,14,73,0,140,0,120.55,31.87
江苏,苏州,张家港,2015120120,13,79,0,121,1,120.55,31.87
江苏,苏州,张家港,2015120121,14,84,0,128,2,120.55,31.87
江苏,苏州,张家港,2015120122,14,83,0,158,0,120.55,31.87
江苏,苏州,张家港,2015120123,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015120200,15,84,0,162,2,120.55,31.87
江苏,苏州,张家港,2015120201,15,87,0,155,0,120.55,31.87
江苏,苏州,张家港,2015120202,15,87,0,303,3,120.55,31.87
江苏,苏州,张家港,2015120203,15,88,0,296,3,120.55,31.87
江苏,苏州,张家港,2015120204,14,97,0.4,319,5,120.55,31.87
江苏,苏州,张家港,2015120205,11,96,1.9,3,0,120.55,31.87
江苏,苏州,张家港,2015120206,11,95,0.3,315,2,120.55,31.87
江苏,苏州,张家港,2015120207,10,92,0,329,4,120.55,31.87
江苏,苏州,张家港,2015120208,10,86,0,315,2,120.55,31.87
江苏,苏州,张家港,2015120209,10,81,0,305,3,120.55,31.87
江苏,苏州,张家港,2015120210,10,78,0,318,4,120.55,31.87
江苏,苏州,张家港,2015120211,12,79,0,300,4,120.55,31.87
江苏,苏州,张家港,2015120212,10,75,0,309,5,120.55,31.87
江苏,苏州,张家港,2015120213,10,77,0,308,5,120.55,31.87
江苏,苏州,张家港,2015120214,13,71,0,317,5,120.55,31.87
江苏,苏州,张家港,2015120215,10,63,0,312,4,120.55,31.87
江苏,苏州,张家港,2015120216,10,63,0,314,4,120.55,31.87
江苏,苏州,张家港,2015120217,10,61,0,298,3,120.55,31.87
江苏,苏州,张家港,2015120218,10,49,0,313,3,120.55,31.87
江苏,苏州,张家港,2015120219,11,48,0,313,4,120.55,31.87
江苏,苏州,张家港,2015120220,8,44,0,308,3,120.55,31.87
江苏,苏州,张家港,2015120221,10,45,0,317,6,120.55,31.87
江苏,苏州,张家港,2015120222,9,48,0,308,5,120.55,31.87
江苏,苏州,张家港,2015120223,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015120300,8,51,0,317,3,120.55,31.87
江苏,苏州,张家港,2015120301,7,50,0,325,2,120.55,31.87
江苏,苏州,张家港,2015120302,7,51,0,290,2,120.55,31.87
江苏,苏州,张家港,2015120303,4,56,0,257,0,120.55,31.87
江苏,苏州,张家港,2015120304,5,60,0,272,2,120.55,31.87
江苏,苏州,张家港,2015120305,4,72,0,248,3,120.55,31.87
江苏,苏州,张家港,2015120306,6,67,0,259,3,120.55,31.87
江苏,苏州,张家港,2015120307,4,70,0,243,1,120.55,31.87
江苏,苏州,张家港,2015120308,7,66,0,257,6,120.55,31.87
江苏,苏州,张家港,2015120309,9,51,0,279,5,120.55,31.87
江苏,苏州,张家港,2015120310,9,39,0,280,6,120.55,31.87
江苏,苏州,张家港,2015120311,9,33,0,275,4,120.55,31.87
江苏,苏州,张家港,2015120312,11,34,0,320,6,120.55,31.87
江苏,苏州,张家港,2015120313,12,28,0,305,6,120.55,31.87
江苏,苏州,张家港,2015120314,12,25,0,303,9,120.55,31.87
江苏,苏州,张家港,2015120315,11,26,0,320,11,120.55,31.87
江苏,苏州,张家港,2015120316,9,28,0,308,7,120.55,31.87
江苏,苏州,张家港,2015120317,10,35,0,310,5,120.55,31.87
江苏,苏州,张家港,2015120318,6,36,0,325,5,120.55,31.87
江苏,苏州,张家港,2015120319,6,37,0,331,3,120.55,31.87
江苏,苏州,张家港,2015120320,7,40,0,320,6,120.55,31.87
江苏,苏州,张家港,2015120321,4,40,0,311,1,120.55,31.87
江苏,苏州,张家港,2015120322,4,42,0,328,3,120.55,31.87
江苏,苏州,张家港,2015120323,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015120400,3,43,0,318,2,120.55,31.87
江苏,苏州,张家港,2015120401,3,43,0,307,2,120.55,31.87
江苏,苏州,张家港,2015120402,5,44,0,307,4,120.55,31.87
江苏,苏州,张家港,2015120403,2,43,0,302,1,120.55,31.87
江苏,苏州,张家港,2015120404,2,41,0,297,3,120.55,31.87
江苏,苏州,张家港,2015120405,2,47,0,318,0,120.55,31.87
江苏,苏州,张家港,2015120406,2,48,0,296,1,120.55,31.87
江苏,苏州,张家港,2015120407,4,57,0,288,2,120.55,31.87
江苏,苏州,张家港,2015120408,2,50,0,301,0,120.55,31.87
江苏,苏州,张家港,2015120409,4,38,0,340,0,120.55,31.87
江苏,苏州,张家港,2015120410,8,33,0,292,5,120.55,31.87
江苏,苏州,张家港,2015120411,9,28,0,287,5,120.55,31.87
江苏,苏州,张家港,2015120412,9,27,0,317,6,120.55,31.87
江苏,苏州,张家港,2015120413,10,27,0,345,7,120.55,31.87
江苏,苏州,张家港,2015120414,11,29,0,297,3,120.55,31.87
江苏,苏州,张家港,2015120415,9,25,0,292,2,120.55,31.87
江苏,苏州,张家港,2015120416,8,28,0,300,2,120.55,31.87
江苏,苏州,张家港,2015120417,7,32,0,273,0,120.55,31.87
江苏,苏州,张家港,2015120418,5,39,0,265,0,120.55,31.87
江苏,苏州,张家港,2015120419,4,50,0,211,0,120.55,31.87
江苏,苏州,张家港,2015120420,3,53,0,203,0,120.55,31.87
江苏,苏州,张家港,2015120421,4,58,0,200,0,120.55,31.87
江苏,苏州,张家港,2015120422,5,60,0,195,0,120.55,31.87
江苏,苏州,张家港,2015120423,999999,999999,999999,999999,999999,120.55,31.87
江苏,苏州,张家港,2015120500,5,63,0,222,2,120.55,31.87
江苏,苏州,张家港,2015120501,3,61,0,223,0,120.55,31.87
江苏,苏州,张家港,2015120502,4,63,0,999999,0,120.55,31.87
江苏,苏州,张家港,2015120503,6,64,0,177,0,120.55,31.87
江苏,苏州,张家港,2015120504,6,70,0,130,0,120.55,31.87
江苏,苏州,张家港,2015120505,4,71,0,171,0,120.55,31.87
江苏,苏州,张家港,2015120506,4,70,0,117,0,120.55,31.87
江苏,苏州,张家港,2015120507,4,68,0,192,0,120.55,31.87
江苏,苏州,张家港,2015120508,6,69,0,240,0,120.55,31.87
江苏,苏州,张家港,2015120509,5,67,0,146,0,120.55,31.87
江苏,苏州,张家港,2015120510,8,58,0,197,0,120.55,31.87
江苏,苏州,张家港,2015120511,9,46,0,257,0,120.55,31.87
江苏,苏州,张家港,2015120512,9,46,0,211,3,120.55,31.87
江苏,苏州,张家港,2015120513,7,47,0,251,0,120.55,31.87
江苏,苏州,张家港,2015120514,8,67,0,198,4,120.55,31.87
江苏,苏州,张家港,2015120515,5,69,0,211,2,120.55,31.87
江苏,苏州,张家港,2015120516,4,80,0,240,2,120.55,31.87
